id,name,name_images,generation,father,children,biography,notes
1,点,,1,-1,2,https://en.wikipedia.org/wiki/Zeng_Dian,
2,参,,2,1,"3,4,5",https://en.wikipedia.org/wiki/Zengzi,是宗聖公
3,元,,3,2,6,,
4,申,,3,2,,,
5,华,,3,2,,,
6,西,,4,3,7,,
7,钦,,5,6,8,,
8,㝵,,6,7,9,,
9,羨,,7,8,10,,
10,遐,,8,9,"11,12",,
11,伟,,9,10,13,,
12,盈,,9,10,,,
13,乐,,10,11,14,,
14,浼,,11,13,"15,16",,
15,旃,,12,14,17,,
16,光,,12,14,,,
17,嘉,,13,15,"18,19",,
18,寳,,14,17,20,,
19,顼,,14,17,,,
20,琰,,15,18,21,,
21,据,,16,20,"22,23",,南迂
22,阐,,17,21,24,,
23,玚,,17,21,25,,
24,植,,18,22,26,,
25,永,,18,23,"27,28",,
26,耀,,19,24,29,,
27,宣,,19,25,30,,
28,万,,19,25,"31,32",,
29,培,,20,26,33,,
30,坤,,20,27,34,,
31,游,,20,28,"35,36,37",,
32,沭,,20,28,,,
33,德,,21,29,,,
34,佐,,21,30,,,
35,萱,,21,31,,,
36,衍,,21,31,"38,39",,
37,葵,,21,31,,,
38,祚,,22,36,40,,
39,道,,22,36,,,
40,良,,23,38,"41,42",,
41,奉,,24,40,43,,
42,春,,24,40,,,
43,拱,,25,41,44,,
44,庆,,26,43,45,,
45,务,,27,44,46,,
46,允,,28,45,47,,
47,耀,,29,46,"48,49",,
48,俊,,30,47,,,
49,琦,,30,47,"50,51",,
50,赐福,,31,49,,,
51,赐重,,31,49,52,,迁小涃
52,球,,32,51,53,,
53,坚,,33,52,"54,55",,
54,贵,,34,53,,,
55,颜,,34,53,"56,57",,
56,荣,,35,55,"58,59",,
57,经,,35,55,,,
58,守云,,36,56,,,
59,守霜,,36,56,,,
